annee,mois,valeur,niveau_nappes
2023,1,-0.27200376651592767,Modérément bas
2023,2,-0.9008687122097628,Bas
2023,3,-0.8494141930072896,Bas
2023,4,-0.5466372902521976,Modérément bas
2023,5,-0.5732300199449135,Modérément bas
2023,6,-0.5450537095389224,Modérément bas
2023,7,-0.5626735374233405,Modérément bas
2023,8,-0.466897149150636,Modérément bas
2023,9,-0.46653235070386184,Modérément bas
2023,10,-0.5207386675227845,Modérément bas
2023,11,0.26154650428732795,Modérément haut
2023,12,0.3909820688852751,Modérément haut
2024,1,0.22089337115980306,Autour de la normale
